datetime,rms,time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,day_or_night_day,day_or_night_night,time_of_day_sec,in_out
2025-08-04 19:36:10,0.05917436541630124,208.474385,0.10079066279928442,0.2248892933324193,1.0525931591962017,0.9910028798542703,0.5548942707435813,0.33183172529407556,0.20475388562030147,-0.07747982812556693,-0.27274662801594446,1013.7590031602896,-3.6086043713159,12.48790607833715,-35.285067717797745,2666.9497726263676,True,False,70570,out
2025-08-04 19:36:11,0.05772517136709893,208.484013,0.08023212033009555,0.19242185352928548,1.1071749564353381,0.8493809088286017,0.31125665936191704,0.7358870693733469,0.1676832826051951,-0.0784207247494367,-0.3063072012202458,1013.7586880664574,-3.540410929646665,12.530488483650716,-35.32360605990206,2667.078150661844,True,False,70571,out
2025-08-04 19:36:12,0.06757443679915023,208.489629,0.060288674744104605,0.16087922094580012,1.1590483974791728,0.686772164160453,0.039356904974206464,1.1725360038440356,0.13623093243641807,-0.0791075510487734,-0.33137366002113916,1013.758604225342,-3.4512907494053526,12.587078715354737,-35.373612210024895,2667.2778805302282,True,False,70572,out
2025-08-04 19:36:13,0.06181375731211272,208.49028,0.043348428297503,0.13404785118938162,1.2038818700373208,0.5174165755048864,-0.24021793397514032,1.6220966949114088,0.1098889551011164,-0.08087808611260228,-0.3495730941495035,1013.7585855475171,-3.354050230473932,12.649357990002244,-35.4278576416043,2667.494519587575,True,False,70573,out
2025-08-04 19:36:14,0.06699990596595258,208.490692,0.03067500220145802,0.11497121003007896,1.2403409783605692,0.3544704579850444,-0.4999664847202799,2.0668737313566177,0.0891555342157885,-0.08474464989449507,-0.362150661711533,1013.7584283772123,-3.2648739192739886,12.706766458314407,-35.47727231413538,2667.6215172079765,True,False,70574,out
2025-08-04 19:36:15,0.07306078539721142,208.498856,0.022356210157529102,0.10585216167721852,1.269715532058072,0.21098918315040432,-0.7024978212635616,2.4865293123714953,0.07589904397036445,-0.09125585781587882,-0.3696628406191323,1013.7579578190495,-3.1967461789191525,12.750798987269235,-35.51466240415284,2667.5155525258474,True,False,70575,out
2025-08-04 19:36:16,0.06168129550457972,208.503926,0.017849416063414267,0.1083946584039586,1.2940214893941684,0.09951338200272619,-0.8038258761940797,2.858062965687507,0.07287108177353789,-0.1005590490457053,-0.3723272887893075,1013.7570930899644,-3.1551032746569962,12.777824325068948,-35.53719051585197,2667.0441185441546,True,False,70576,out
2025-08-04 19:36:17,0.07820455280039487,208.504531,0.016639346039086105,0.12390361555025609,1.3141239616860942,0.02922721841433661,-0.7652456537918203,3.1618947222549045,0.08333783180948467,-0.11267321673352526,-0.37020357946555554,1013.7558910803966,-3.137947463257139,12.789013653214468,-35.546335461274154,2666.1674960370055,True,False,70577,out
2025-08-04 19:36:18,0.08447247794126815,208.510651,0.018542719947676513,0.1526708867196248,1.3292420722506681,0.003639830747664441,-0.5679070552402501,3.3858417652022674,0.11086597032885805,-0.12765031695758397,-0.362937858291778,1013.7545367051964,-3.138908494648503,12.788371541527718,-35.546134915449436,2665.0407939304414,True,False,70578,out
2025-08-04 19:36:19,0.09181510775201586,208.513208,0.023568977164618796,0.19293771624753253,1.3378246726120477,0.020700833259017122,-0.22270051534477653,3.5241477017699516,0.15831715152886155,-0.1452129316705144,-0.3496122933249527,1013.7532659926889,-3.150595293337767,12.78059187756422,-35.54115912905608,2664.099708506221,True,False,70579,out
